Datetime,AAPL,BTC-USD,ETH-USD,GOOGL,MSFT,NVDA,QQQ,SOL-USD
2024-02-25 00:00:00+00:00,182.50999450683594,51496.078125,2996.08837890625,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.59613037109375
2024-02-25 01:00:00+00:00,182.50999450683594,51662.8046875,3015.0830078125,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.78617858886719
2024-02-25 02:00:00+00:00,182.50999450683594,51577.26171875,3027.32958984375,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.16133117675781
2024-02-25 03:00:00+00:00,182.50999450683594,51606.9765625,3025.363037109375,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.34876251220703
2024-02-25 04:00:00+00:00,182.50999450683594,51614.30859375,3020.794921875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.14659118652344
2024-02-25 05:00:00+00:00,182.50999450683594,51680.14453125,3035.282470703125,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.43229675292969
2024-02-25 06:00:00+00:00,182.50999450683594,51742.60546875,3032.1591796875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.12543487548828
2024-02-25 07:00:00+00:00,182.50999450683594,51719.125,3029.806884765625,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.03108215332031
2024-02-25 08:00:00+00:00,182.50999450683594,51615.73828125,3018.6259765625,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,102.53575897216797
2024-02-25 09:00:00+00:00,182.50999450683594,51636.39453125,3018.66455078125,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,102.50459289550781
2024-02-25 10:00:00+00:00,182.50999450683594,51574.55859375,3024.875244140625,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,102.44310760498047
2024-02-25 11:00:00+00:00,182.50999450683594,51654.2578125,3039.168701171875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,102.81315612792969
2024-02-25 12:00:00+00:00,182.50999450683594,51667.4609375,3043.8779296875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,102.91613006591797
2024-02-25 13:00:00+00:00,182.50999450683594,51621.91796875,3039.069091796875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,102.67224884033203
2024-02-25 14:00:00+00:00,182.50999450683594,51743.0625,3069.123779296875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.39112854003906
2024-02-25 15:00:00+00:00,182.50999450683594,51492.56640625,3040.667236328125,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,102.59615325927734
2024-02-25 16:00:00+00:00,182.50999450683594,51399.609375,3041.46337890625,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,102.63324737548828
2024-02-25 17:00:00+00:00,182.50999450683594,51549.47265625,3060.47900390625,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.36929321289062
2024-02-25 18:00:00+00:00,182.50999450683594,51564.11328125,3064.641845703125,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.14836883544922
2024-02-25 19:00:00+00:00,182.50999450683594,51666.578125,3081.713623046875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.34906768798828
2024-02-25 20:00:00+00:00,182.50999450683594,51744.015625,3098.873779296875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.56793975830078
2024-02-25 21:00:00+00:00,182.50999450683594,51768.96484375,3109.09716796875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.71138000488281
2024-02-25 22:00:00+00:00,182.50999450683594,51702.74609375,3101.1015625,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.44745635986328
2024-02-25 23:00:00+00:00,182.50999450683594,51720.2890625,3111.14111328125,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.4316177368164
2024-02-26 00:00:00+00:00,182.50999450683594,51672.5,3116.340087890625,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.91519165039062
2024-02-26 01:00:00+00:00,182.50999450683594,51489.60546875,3106.733642578125,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.431884765625
2024-02-26 02:00:00+00:00,182.50999450683594,51438.73828125,3094.35498046875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,102.69252014160156
2024-02-26 03:00:00+00:00,182.50999450683594,51558.5234375,3105.475830078125,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.26122283935547
2024-02-26 04:00:00+00:00,182.50999450683594,51529.88671875,3103.61572265625,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.05909729003906
2024-02-26 05:00:00+00:00,182.50999450683594,51577.17578125,3106.75537109375,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.9547348022461
2024-02-26 06:00:00+00:00,182.50999450683594,51523.06640625,3112.836669921875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,104.17008209228516
2024-02-26 07:00:00+00:00,182.50999450683594,51299.4765625,3087.329345703125,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.3636245727539
2024-02-26 08:00:00+00:00,182.50999450683594,51263.88671875,3092.696044921875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,103.66902160644531
2024-02-26 09:00:00+00:00,182.50999450683594,50941.6796875,3040.81201171875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,101.48101043701172
2024-02-26 10:00:00+00:00,182.50999450683594,51163.546875,3054.3671875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,101.88932037353516
2024-02-26 11:00:00+00:00,182.50999450683594,51109.14453125,3057.98828125,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,100.95540618896484
2024-02-26 12:00:00+00:00,182.50999450683594,51203.21875,3062.86083984375,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,101.28538513183594
2024-02-26 13:00:00+00:00,182.50999450683594,51244.046875,3060.68310546875,143.97000122070312,410.32000732421875,78.81599426269531,436.739990234375,101.60559844970703
